,Cement,Blast_Furnace_Slag,Fly_Ash,Water,Superplasticizer,Coarse_Aggregate,Fine_Aggregate,Age,Strength,Concrete_Grade
0,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64,C25/30
1,339.0,0.0,0.0,197.0,0.0,968.0,781.0,7,20.97,C16/20
2,250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,38.33,C30/37
3,233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,34.56,C25/30
4,350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,34.29,C25/30
5,145.0,0.0,134.0,181.0,11.0,979.0,812.0,28,13.2,NoClass
6,295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23,C25/30
7,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100,40.57,C30/37
8,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66,C40/50
9,250.0,0.0,95.7,191.8,5.3,948.9,857.2,56,39.64,C30/37
10,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,56.06,C45/55
11,295.7,0.0,95.6,171.5,8.9,955.1,859.2,56,48.72,C35/45
12,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,43.58,C30/37
13,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39,C30/37
14,333.0,17.5,163.0,167.0,17.9,996.0,652.0,28,47.28,C35/45
15,203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7,11.96,NoClass
16,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,C45/55
17,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,56,51.96,C40/50
18,181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7,12.37,NoClass
19,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1,C40/50
20,277.0,0.0,0.0,191.0,0.0,968.0,856.0,360,33.7,C25/30
21,239.6,359.4,0.0,185.7,0.0,941.6,664.3,7,25.42,C20/25
22,183.9,122.6,0.0,203.5,0.0,959.2,800.0,7,10.79,NoClass
23,446.0,24.0,79.0,162.0,10.3,967.0,712.0,56,54.77,C40/50
24,485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99,C50/60
25,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6,C20/25
26,155.0,0.0,143.0,193.0,9.0,877.0,868.0,28,9.74,NoClass
27,337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89,C45/55
28,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,7,17.44,C12/15
29,150.7,0.0,185.3,166.7,15.6,1074.5,678.0,28,13.46,NoClass
30,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100,37.96,C30/37
31,236.0,157.0,0.0,192.0,0.0,972.6,749.1,90,47.78,C35/45
32,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61,C30/37
33,332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02,C25/30
34,108.3,162.4,0.0,203.5,0.0,938.2,849.0,3,2.33,NoClass
35,237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0,C30/37
36,397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7,25.45,C20/25
37,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,17.84,C12/15
38,303.6,139.9,0.0,213.5,6.2,895.5,722.5,28,33.42,C25/30
39,375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28,38.21,C30/37
40,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3,13.54,NoClass
41,165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28,26.2,C20/25
42,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,C25/30
43,152.0,178.0,139.0,168.0,18.0,944.0,695.0,28,36.35,C25/30
44,141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89,C20/25
45,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,C30/37
46,220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28,25.75,C20/25
47,382.0,0.0,0.0,186.0,0.0,1047.0,739.0,7,24.0,C16/20
48,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75,NoClass
49,234.0,156.0,0.0,189.0,5.9,981.0,760.0,28,39.3,C30/37
50,349.0,0.0,0.0,192.0,0.0,1056.0,809.0,7,9.01,NoClass
51,238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3,C30/37
52,436.0,0.0,0.0,218.0,0.0,838.4,719.7,28,23.85,C16/20
53,385.0,0.0,0.0,186.0,0.0,966.0,763.0,28,31.35,C25/30
54,266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,C40/50
55,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56,45.08,C35/45
56,284.0,119.7,0.0,168.3,7.2,970.4,794.2,28,40.93,C30/37
57,310.0,0.0,0.0,192.0,0.0,1012.0,830.0,120,38.7,C30/37
58,331.0,0.0,0.0,192.0,0.0,978.0,825.0,90,37.23,C30/37
59,480.0,0.0,0.0,192.0,0.0,936.0,721.0,90,54.28,C40/50
60,480.0,0.0,0.0,192.0,0.0,936.2,712.2,7,34.57,C25/30
61,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9,C40/50
62,500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,69.84,C50/60
63,133.0,200.0,0.0,192.0,0.0,927.4,839.2,3,6.88,NoClass
64,122.6,183.9,0.0,203.5,0.0,958.2,800.1,90,33.19,C25/30
65,144.0,170.0,133.0,192.0,8.0,814.0,805.0,28,29.87,C20/25
66,290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08,C35/45
67,252.0,97.0,76.0,194.0,8.0,835.0,821.0,28,33.4,C25/30
68,310.0,0.0,0.0,192.0,0.0,970.0,850.0,7,14.99,NoClass
69,296.0,0.0,0.0,186.0,0.0,1090.0,769.0,28,25.18,C20/25
70,388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2,C45/55
71,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95,C50/60
72,236.0,0.0,0.0,194.0,0.0,968.0,885.0,90,21.95,C16/20
73,144.0,136.0,106.0,178.0,7.0,941.0,774.0,28,26.14,C20/25
74,252.3,0.0,98.8,146.3,14.2,987.8,889.0,56,55.83,C45/55
75,184.0,86.0,190.0,213.0,6.0,923.0,623.0,28,22.93,C16/20
76,317.9,0.0,126.5,209.7,5.7,860.5,736.6,28,40.06,C30/37
77,140.0,164.0,128.0,237.0,6.0,869.0,656.0,28,35.23,C25/30
78,491.0,26.0,123.0,210.0,3.9,882.0,699.0,28,55.55,C45/55
79,374.0,0.0,0.0,190.0,7.0,1013.0,730.0,28,39.05,C30/37
80,213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28,45.94,C35/45
81,424.0,22.0,132.0,178.0,8.5,822.0,750.0,7,39.0,C30/37
82,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9,C40/50
83,525.0,0.0,0.0,189.0,0.0,1125.0,613.0,3,33.8,C25/30
84,275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3,23.8,C16/20
85,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28,29.65,C20/25
86,202.0,11.0,141.0,206.0,1.7,942.0,801.0,56,23.25,C16/20
87,333.0,0.0,0.0,192.0,0.0,931.2,842.6,90,41.68,C30/37
88,288.0,192.0,0.0,192.0,0.0,932.0,717.8,7,23.52,C16/20
89,170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7,10.73,NoClass
90,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81,C25/30
91,359.0,19.0,141.0,154.0,10.9,942.0,801.0,7,35.75,C25/30
92,305.3,203.5,0.0,203.5,0.0,965.4,631.0,90,54.6,C40/50
93,313.0,161.0,0.0,178.0,10.0,917.0,759.0,28,52.44,C40/50
94,154.0,144.0,112.0,220.0,10.0,923.0,658.0,28,16.5,C12/15
95,236.0,0.0,0.0,193.0,0.0,968.0,885.0,365,25.08,C20/25
96,318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,66.1,C50/60
97,388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,C20/25
98,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,C30/37
99,425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9,C50/60
100,192.0,288.0,0.0,192.0,0.0,929.8,716.1,3,12.79,NoClass
101,475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8,C30/37
102,250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35,C30/37
103,475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,C30/37
104,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,C50/60
105,202.0,11.0,141.0,206.0,1.7,942.0,801.0,28,21.97,C16/20
106,331.0,0.0,0.0,192.0,0.0,978.0,825.0,7,16.26,C12/15
107,397.0,17.2,158.0,167.0,20.8,967.0,633.0,28,55.65,C45/55
108,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48,C16/20
109,331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3,14.31,NoClass
110,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,180,41.05,C30/37
111,255.0,0.0,0.0,192.0,0.0,889.8,945.0,3,8.2,NoClass
112,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,29.75,C20/25
113,304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95,C40/50
114,339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7,21.18,C16/20
115,359.0,19.0,141.0,154.0,10.9,942.0,801.0,56,66.78,C50/60
116,251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98,NoClass
117,277.0,0.0,0.0,191.0,0.0,968.0,856.0,180,32.33,C25/30
118,362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,C25/30
119,342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,C40/50
120,156.0,178.0,187.0,221.0,7.0,854.0,614.0,28,29.41,C20/25
121,296.0,0.0,0.0,192.0,0.0,1085.0,765.0,90,29.39,C20/25
122,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5,C45/55
123,289.0,134.0,0.0,195.0,6.0,924.0,760.0,28,46.24,C35/45
124,252.3,0.0,98.8,146.3,14.2,987.8,889.0,100,60.95,C50/60
125,312.7,0.0,0.0,178.1,8.0,999.7,822.2,28,25.1,C20/25
126,424.0,22.0,132.0,168.0,8.9,822.0,750.0,28,72.1,C50/60
127,159.1,186.7,0.0,175.6,11.3,989.6,788.9,28,32.77,C25/30
128,143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87,C20/25
129,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96,C40/50
130,203.5,305.3,0.0,203.5,0.0,963.4,630.0,7,19.54,C12/15
131,401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7,C50/60
132,297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28,47.4,C35/45
133,516.0,0.0,0.0,162.0,8.3,801.0,802.0,28,41.37,C30/37
134,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73,C25/30
135,500.0,0.0,0.0,200.0,0.0,1125.0,613.0,28,44.09,C30/37
136,349.0,0.0,0.0,192.0,0.0,1047.0,806.0,3,14.99,NoClass
137,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5,C16/20
138,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,33.01,C25/30
139,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.9,C50/60
140,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14,25.37,C20/25
141,374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9,C50/60
142,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71,C35/45
143,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,51.72,C40/50
144,154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,12.46,NoClass
